;0;1;2;3;4;5
30;10800000;"
 2-к квартира, 55 м², 5/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_55_m_517_et._1989967491;"
 Алма-Атинская ул., 3к2
 ";Алма-Атинская; 1 км
31;8200000;"
 2-к квартира, 53.4 м², 5/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_53.4_m_59_et._1989803806;"
 Сормовская ул., 10к2
 ";Юго-Восточная; 800 м
32;8200000;"
 2-к квартира, 39 м², 6/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_39_m_614_et._1953017648;"
 Можайское ш., 34к1
 ";Кунцевская; 2,3 км
33;12100000;"
 2-к квартира, 57 м², 2/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_57_m_216_et._1566590656;"
 Олонецкий пр.
 ";Бабушкинская; 600 м
34;8700000;"
 2-к квартира, 38 м², 1/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_38_m_112_et._1978960035;"
 ул. Вучетича, 28к5
 ";Тимирязевская; 1,4 км
35;11050000;"
 2-к квартира, 46.1 м², 3/23 эт.
 ";/moskva/kvartiry/2-k_kvartira_46.1_m_323_et._2013062272;"
 Сельскохозяйственная ул., 38к2
 ";Ботанический сад; 500 м
36;5450000;"
 2-к квартира, 50 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_50_m_55_et._1979858381;"
 д. Марусино, Заречная ул., 33к10
 ";Некрасовка; 2,6 км
37;8800000;"
 2-к квартира, 62 м², 2/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_62_m_216_et._2005551241;"
 рабочий пос. Дрожжино, Южная ул., 14
 ";Улица Скобелевская; 3,8 км
38;7700000;"
 2-к квартира, 45.5 м², 4/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45.5_m_45_et._2013834384;"
 Кусковская ул., 23к5
 ";Перово; 1 км
39;9900000;"
 2-к квартира, 41 м², 6/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_41_m_69_et._174830;"
 ул. Дмитрия Ульянова, 43к1
 ";Крымская; 1,2 км
40;10900000;"
 2-к квартира, 56 м², 12/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_56_m_1214_et._1858673718;"
 Совхозная ул., 10к2
 ";Люблино; 900 м
41;7350000;"
 2-к квартира, 46 м², 1/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_46_m_19_et._2002778720;"
 Ярославское ш., 111к2
 ";Бабушкинская; 2,7 км
42;10700000;"
 2-к квартира, 52.4 м², 6/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_52.4_m_612_et._1991835295;"
 Краснобогатырская ул., 21
 ";Белокаменная; 1,9 км
43;14400000;"
 2-к квартира, 63 м², 1/8 эт.
 ";/moskva/kvartiry/2-k_kvartira_63_m_18_et._1961799567;"
 Ленинский пр-т, 82/2
 ";Университет; 1,2 км
44;11800000;"
 2-к квартира, 50 м², 2/24 эт.
 ";/moskva/kvartiry/2-k_kvartira_50_m_224_et._1842118294;"
 Рублёвское ш., 70к5
 ";Крылатское; 2,6 км
45;12500000;"
 2-к квартира, 56 м², 1/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_56_m_117_et._1987026090;"
 Мичуринский пр-т, 25к4
 ";Раменки; 500 м
46;9450000;"
 2-к квартира, 38.8 м², 12/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_38.8_m_1212_et._1997946285;"
 ул. Красных Зорь, 49
 ";Кунцевская; 1,4 км
47;9900000;"
 2-к квартира, 43.4 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43.4_m_35_et._1949977695;"
 ул. Академика Павлова, 12к1
 ";Молодежная; 1,1 км
48;8500000;"
 2-к квартира, 48.1 м², 9/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_48.1_m_914_et._1996128435;"
 ул. Корнейчука, 34
 ";Бибирево; 2 км
49;9500000;"
 2-к квартира, 52.2 м², 10/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_52.2_m_1017_et._1892811084;"
 ул. Борисовские Пруды, 48к2
 ";Алма-Атинская; 1 км
50;9180000;"
 2-к квартира, 58.9 м², 13/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_58.9_m_1317_et._2007597957;"
 ул. Лавриненко, 1
 ";Некрасовка; 800 м
51;10400000;"
 2-к квартира, 52 м², 2/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_52_m_217_et._1994367284;"
 ул. Главмосстроя, 9
 ";Говорово; 800 м
52;8600000;"
 2-к квартира, 39.2 м², 11/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_39.2_m_1112_et._2006649208;"
 Чертановская ул., 31к1
 ";Пражская; 800 м
53;9900000;"
 2-к квартира, 71.2 м², 5/6 эт.
 ";/moskva/kvartiry/2-k_kvartira_71.2_m_56_et._1987851079;"
 Варшавское ш., 56с2
 ";Нагорная; 900 м
54;8110600;"
 2-к квартира, 37.9 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_37.9_m_25_et._1968275730;"
 12-я Парковая ул., 7
 ";Первомайская; 800 м
55;13990000;"
 2-к квартира, 50 м², 2/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_50_m_217_et._1966323935;"
 Большая Филёвская ул., 23к1
 ";Багратионовская; 400 м
56;9200000;"
 2-к квартира, 47.5 м², 2/18 эт.
 ";/moskva/kvartiry/2-k_kvartira_47.5_m_218_et._1972646866;"
 Профсоюзная ул., 128
 ";Коньково; 300 м
57;13000000;"
 2-к квартира, 62 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_62_m_35_et._1993801249;"
 5-я Парковая ул., 33
 ";Первомайская; 800 м
58;11300000;"
 2-к квартира, 58 м², 14/18 эт.
 ";/moskva/kvartiry/2-k_kvartira_58_m_1418_et._1862001415;"
 Базовская ул., 15к4
 ";Ховрино; 1,7 км
59;7800000;"
 2-к квартира, 46 м², 3/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_46_m_39_et._1981073231;"
 Ташкентская ул., 35
 ";Юго-Восточная; 1,5 км
60;7150000;"
 2-к квартира, 61.8 м², 15/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_61.8_m_1517_et._1971540123;"
 ул. Лётчика Ульянина, 7
 ";Рассказовка; 1,7 км
61;11950000;"
 2-к квартира, 64 м², 2/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_64_m_214_et._1817525472;"
 Полярная ул., 17к2
 ";Бабушкинская; 2 км
62;8000000;"
 2-к квартира, 37 м², 7/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_37_m_79_et._1987301140;"
 Ленинградское ш., 24к2
 ";Балтийская; 300 м
63;9178100;"
 2-к квартира, 62.8 м², 11/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_62.8_m_1125_et._1695307110;"
 Рождественская ул., 33
 ";Некрасовка; 200 м
64;10000000;"
 2-к квартира, 42 м², 10/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_42_m_1016_et._1977121856;"
 Крутицкая наб., 11
 ";Пролетарская; 1 км
65;13400000;"
 2-к квартира, 58 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_58_m_55_et._1992239572;"
 3-й Волоколамский пр., 14к1
 ";Панфиловская; 900 м
66;9500000;"
 2-к квартира, 47.6 м², 1/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_47.6_m_125_et._1958269186;"
 Саларьевская ул., 16к2
 ";Саларьево; 1,2 км
67;8500000;"
 2-к квартира, 64 м², 16/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_64_m_1617_et._1996522706;"
 1-я Вольская ул., 18к1
 ";Некрасовка; 2,2 км
68;10800000;"
 2-к квартира, 54.2 м², 14/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_54.2_m_1417_et._1983600325;"
 Варшавское ш., 152к7
 ";Улица академика Янгеля; 700 м
69;8990000;"
 2-к квартира, 37.5 м², 7/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_37.5_m_79_et._1932129308;"
 Новопетровская ул., 1к4
 ";Балтийская; 1,5 км
70;9950000;"
 2-к квартира, 57 м², 23/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_57_m_2325_et._1997705419;"
 Муравская ул., 42к2
 ";Пятницкое шоссе; 1,2 км
71;9500000;"
 2-к квартира, 54.5 м², 4/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_54.5_m_45_et._2001934670;"
 Волжский б-р, 24
 ";Текстильщики; 800 м
72;12300000;"
 2-к квартира, 51.4 м², 17/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_51.4_m_1717_et._1887936287;"
 ул. Маршала Тухачевского, 16к2
 ";Октябрьское поле; 1,3 км
73;2500000;"
 2-к квартира, 32 м², 2/2 эт.
 ";/moskva/kvartiry/2-k_kvartira_32_m_22_et._1239497464;"
 Новосходненское ш., 84с2
 ";р-н Молжаниновский;
74;9300000;"
 2-к квартира, 39 м², 7/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_39_m_712_et._1979283854;"
 3-й Павелецкий пр., 11А
 ";Тульская; 1 км
75;14800000;"
 2-к квартира, 67 м², 12/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_67_m_1216_et._1979341894;"
 Новокуркинское ш., 45
 ";р-н Куркино;
76;9900000;"
 2-к квартира, 58 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_58_m_55_et._1925864519;"
 Болотниковская ул., 1к3
 ";Варшавская; 300 м
77;12000000;"
 2-к квартира, 60 м², 21/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_60_m_2125_et._1959789273;"
 Муравская ул., 42к1
 ";Пятницкое шоссе; 1,3 км
78;11300000;"
 2-к квартира, 59 м², 4/11 эт.
 ";/moskva/kvartiry/2-k_kvartira_59_m_411_et._1999259624;"
 Производственная ул., 8к2
 ";Солнцево; 400 м
79;12750000;"
 2-к квартира, 67 м², 9/23 эт.
 ";/moskva/kvartiry/2-k_kvartira_67_m_923_et._1974781672;"
 ул. Молодцова, 29к2
 ";Бибирево; 1,5 км
80;13980000;"
 2-к квартира, 46 м², 4/10 эт.
 ";/moskva/kvartiry/2-k_kvartira_46_m_410_et._1963590990;"
 Ленинский пр-т, 43
 ";Площадь Гагарина; 700 м
81;8450000;"
 2-к квартира, 43 м², 1/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_19_et._1959100127;"
 пр-т Андропова, 44к2
 ";Коломенская; 800 м
82;7900000;"
 2-к квартира, 43.9 м², 9/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_43.9_m_99_et._1989472223;"
 ул. Красного Маяка, 11к1
 ";Пражская; 1,1 км
83;10000000;"
 2-к квартира, 72 м², 9/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_72_m_99_et._1959756613;"
 Солнцевский пр-т, 5
 ";Солнцево; 500 м
84;13200000;"
 2-к квартира, 42.3 м², 6/7 эт.
 ";/moskva/kvartiry/2-k_kvartira_42.3_m_67_et._1854521895;"
 ул. Саморы Машела, 2А
 ";Тропарево; 1,6 км
85;14000000;"
 2-к квартира, 63 м², 9/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_63_m_917_et._1994218632;"
 Шелепихинское ш., 13с4
 ";Шелепиха; 400 м
86;9800000;"
 2-к квартира, 43 м², 8/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_89_et._1985191727;"
 ул. Пестеля, 9
 ";Отрадное; 600 м
87;11000000;"
 2-к квартира, 42 м², 8/20 эт.
 ";/moskva/kvartiry/2-k_kvartira_42_m_820_et._1636125887;"
 Ленинский пр-т, 110к1
 ";Проспект Вернадского; 1,2 км
88;8978200;"
 2-к квартира, 46.6 м², 4/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_46.6_m_45_et._1808704148;"
 12-я Парковая ул., 5
 ";Первомайская; 900 м
89;7690000;"
 2-к квартира, 45 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45_m_55_et._2007751892;"
 11-я Парковая ул., 37к3
 ";Первомайская; 800 м
90;9000000;"
 2-к квартира, 58.3 м², 8/22 эт.
 ";/moskva/kvartiry/2-k_kvartira_58.3_m_822_et._1964041013;"
 Покровская ул., 41
 ";Некрасовка; 900 м
91;6850000;"
 2-к квартира, 63 м², 8/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_63_m_825_et._1842125542;"
 рабочий пос. Бутово, жилой комплекс Бутово Парк, 25
 ";Улица Скобелевская; 2,2 км
92;7800000;"
 2-к квартира, 43.4 м², 1/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43.4_m_15_et._1981047461;"
 4-й Новомихалковский пр., 8
 ";Лихоборы; 800 м
93;11000000;"
 2-к квартира, 44 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_35_et._2011366732;"
 Скаковая ул., 34к1
 ";Белорусская; 800 м
94;11000000;"
 2-к квартира, 60 м², 20/22 эт.
 ";/moskva/kvartiry/2-k_kvartira_60_m_2022_et._2000873843;"
 Щёлковское ш., 97
 ";Щелковская; 2,3 км
95;9450000;"
 2-к квартира, 43 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_35_et._1991224768;"
 Болотниковская ул., 26к1
 ";Каховская; 500 м
96;10500000;"
 2-к квартира, 56.4 м², 1/22 эт.
 ";/moskva/kvartiry/2-k_kvartira_56.4_m_122_et._1928146666;"
 ул. Обручева, 19к3
 ";Калужская; 1,3 км
97;8450000;"
 2-к квартира, 39 м², 8/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_39_m_89_et._1835973065;"
 Каширское ш., 26к2
 ";Каширская; 200 м
98;8500000;"
 2-к квартира, 46 м², 7/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_46_m_714_et._1981178135;"
 Измайловский пр., 3к2
 ";Измайловская; 1,2 км
99;9000000;"
 2-к квартира, 50 м², 7/22 эт.
 ";/moskva/kvartiry/2-k_kvartira_50_m_722_et._2007667554;"
 Изумрудная ул., 18
 ";Бабушкинская; 1,1 км
100;9100000;"
 2-к квартира, 38 м², 1/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_38_m_19_et._1969828099;"
 ул. Дубки, 11
 ";Тимирязевская; 1,2 км
101;9999999;"
 2-к квартира, 78.3 м², 2/6 эт.
 ";/moskva/kvartiry/2-k_kvartira_78.3_m_26_et._1994161494;"
 2-я Кабельная ул., 15
 ";Авиамоторная; 300 м
102;7900000;"
 2-к квартира, 44 м², 5/6 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_56_et._1974775818;"
 Чонгарский б-р, 27к2
 ";Севастопольская; 100 м
103;11900000;"
 2-к квартира, 43.5 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43.5_m_35_et._2007156498;"
 Планетная ул., 20
 ";Аэропорт; 1 км
104;8110600;"
 2-к квартира, 37.9 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_37.9_m_25_et._1968275730;"
 12-я Парковая ул., 7
 ";Первомайская; 800 м
105;7500000;"
 2-к квартира, 43 м², 9/10 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_910_et._1987054345;"
 Сиреневый б-р, 60
 ";Первомайская; 1,9 км
106;7500000;"
 2-к квартира, 45.4 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45.4_m_25_et._1981411151;"
 11-я Парковая ул., 41к2
 ";Первомайская; 900 м
107;11950000;"
 2-к квартира, 44 м², 17/19 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_1719_et._1986429784;"
 1-й Нагатинский пр., 14
 ";Нагатинская; 1,1 км
108;8800000;"
 2-к квартира, 45.6 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45.6_m_55_et._2006660831;"
 Ленинградское ш., 48к2
 ";Водный стадион; 500 м
109;8795000;"
 2-к квартира, 55 м², 8/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_55_m_816_et._1951794552;"
 Ярославское ш., 57
 ";Бабушкинская; 2 км
110;12250000;"
 2-к квартира, 64 м², 17/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_64_m_1717_et._2012517106;"
 Юрловский пр., 14к1
 ";Бибирево; 900 м
111;6100000;"
 2-к квартира, 44.7 м², 3/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_44.7_m_35_et._1949403691;"
 Оренбургская ул., 14
 ";Улица Дмитриевского; 1,1 км
112;8800000;"
 2-к квартира, 53.7 м², 2/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_53.7_m_217_et._1981702674;"
 Боровское ш., 21
 ";Боровское шоссе; 200 м
113;9400000;"
 2-к квартира, 44 м², 2/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_29_et._1966560206;"
 Варшавское ш., 13
 ";Верхние котлы; 1 км
114;7800000;"
 2-к квартира, 53 м², 5/7 эт.
 ";/moskva_zelenograd/kvartiry/2-k_kvartira_53_m_57_et._1993273488;;Зеленоград;
115;4700000;"
 2-к квартира, 55 м², 8/20 эт.
 ";/moskva/kvartiry/2-k_kvartira_55_m_820_et._1989860005;"
 Люберцы, Вертолётная ул., 46
 ";Некрасовка; 2 км
116;14130000;"
 2-к квартира, 75.7 м², 5/23 эт.
 ";/moskva/kvartiry/2-k_kvartira_75.7_m_523_et._1969691547;"
 Ленинградское ш., 35
 ";Балтийская; 900 м
117;9390000;"
 2-к квартира, 44 м², 8/8 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_88_et._1996844130;"
 Варшавское ш., 65к1
 ";Нагорная; 1 км
118;9500000;"
 2-к квартира, 43.8 м², 9/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_43.8_m_99_et._1979650878;"
 11-я Парковая ул., 21
 ";Первомайская; 400 м
119;12000000;"
 2-к квартира, 50.9 м², 13/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_50.9_m_1317_et._1546106512;"
 Боровское ш., 46
 ";Новопеределкино; 500 м
120;12000000;"
 2-к квартира, 54.5 м², 5/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_54.5_m_525_et._1964373728;"
 Боровское ш., 2к4
 ";Говорово; 400 м
121;10000000;"
 2-к квартира, 58 м², 6/22 эт.
 ";/moskva/kvartiry/2-k_kvartira_58_m_622_et._1997211576;"
 Высоковольтный пр., 1к3
 ";Бибирево; 1,4 км
122;7900000;"
 2-к квартира, 38 м², 3/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_38_m_39_et._1981703297;"
 пр. Русанова, 35
 ";Свиблово; 1 км
123;9500000;"
 2-к квартира, 44.6 м², 8/8 эт.
 ";/moskva/kvartiry/2-k_kvartira_44.6_m_88_et._1759008999;"
 ул. Петра Романова, 2
 ";Кожуховская; 500 м
124;10000000;"
 2-к квартира, 57 м², 6/18 эт.
 ";/moskva/kvartiry/2-k_kvartira_57_m_618_et._2012506627;"
 ул. Марьинский Парк, 25к2
 ";Люблино; 1,7 км
125;7000000;"
 2-к квартира, 45 м², 4/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45_m_45_et._1997198221;"
 Нарвская ул., 5
 ";Балтийская; 1,1 км
126;9990000;"
 2-к квартира, 66.3 м², 12/24 эт.
 ";/moskva/kvartiry/2-k_kvartira_66.3_m_1224_et._1964561061;"
 Саларьевская ул., 13к3
 ";Саларьево; 1,3 км
127;15000000;"
 2-к квартира, 61 м², 25/32 эт.
 ";/moskva/kvartiry/2-k_kvartira_61_m_2532_et._1998549519;"
 Ленинградское ш., 108
 ";Беломорская; 700 м
128;13500000;"
 2-к квартира, 74.6 м², 16/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_74.6_m_1617_et._1981709730;"
 Байкальская ул., 18к1
 ";Щелковская; 700 м
129;9300000;"
 2-к квартира, 43 м², 5/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_512_et._1945141265;"
 ул. Цандера, 7
 ";ВДНХ; 1 км
130;10800000;"
 2-к квартира, 55 м², 13/14 эт.
 ";/moskva/kvartiry/2-k_kvartira_55_m_1314_et._1931236074;"
 ул. Гришина, 2к1
 ";Кунцевская; 2 км
131;11000000;"
 2-к квартира, 68 м², 4/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_68_m_49_et._1997513207;"
 б-р Андрея Тарковского, 5
 ";Рассказовка; 900 м
132;8800000;"
 2-к квартира, 46 м², 1/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_46_m_15_et._1945636396;"
 1-я Дубровская ул., 4Б
 ";Пролетарская; 500 м
133;6800000;"
 2-к квартира, 45 м², 8/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_45_m_89_et._2002980789;"
 Бирюлёвская ул., 52к1
 ";Орехово; 3,6 км
134;8500000;"
 2-к квартира, 44.5 м², 1/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_44.5_m_19_et._851400648;"
 Врачебный пр., 10к2
 ";Щукинская; 700 м
135;8999000;"
 2-к квартира, 52 м², 9/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_52_m_912_et._1947242816;"
 ул. Плещеева, 16
 ";Бибирево; 700 м
136;8300000;"
 2-к квартира, 42.3 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_42.3_m_25_et._1987559963;"
 Федеративный пр-т, 37
 ";Новогиреево; 600 м
137;9800000;"
 2-к квартира, 44 м², 1/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_15_et._1968550390;"
 ул. Цюрупы, 12к1
 ";Профсоюзная; 1,1 км
138;12499000;"
 2-к квартира, 51.4 м², 14/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_51.4_m_1417_et._1940369212;"
 ул. Намёткина, 9к3
 ";Новые Черемушки; 700 м
